"","n.clusters","sil.coef","algorithm","N.features","randomization"
"1",4,0.670587336038763,"affinity",1,1
"2",6,0.448424948593354,"fuzzy",1,1
"3",4,0.601598385370319,"affinity",2,1
"4",2,0.632707451125971,"fuzzy",2,1
"5",5,0.528072462341382,"affinity",3,1
"6",2,0.69055690716851,"fuzzy",3,1
"7",6,0.369167981713796,"affinity",4,1
"8",2,0.55125155473258,"fuzzy",4,1
"9",5,0.278748120380162,"affinity",5,1
"10",2,0.572038521799964,"fuzzy",5,1
"11",5,0.352892118907158,"affinity",6,1
"12",2,0.579949422112574,"fuzzy",6,1
"13",4,0.592561732974821,"affinity",1,2
"14",2,0.703431359213701,"fuzzy",1,2
"15",5,0.367961921995737,"affinity",2,2
"16",5,0.382479061227282,"fuzzy",2,2
"17",7,0.441274376830939,"affinity",3,2
"18",4,0.363048789347702,"fuzzy",3,2
"19",6,0.310874447405567,"affinity",4,2
"20",3,0.277778761232414,"fuzzy",4,2
"21",6,0.323453064283624,"affinity",5,2
"22",2,0.556005021682676,"fuzzy",5,2
"23",4,0.326238985921116,"affinity",6,2
"24",2,0.55685470360829,"fuzzy",6,2
"25",4,0.690698106567093,"affinity",1,3
"26",2,0.631727161306039,"fuzzy",1,3
"27",9,0.287609867209524,"affinity",2,3
"28",4,0.278805276475617,"fuzzy",2,3
"29",4,0.469894182627935,"affinity",3,3
"30",2,0.618907639811663,"fuzzy",3,3
"31",4,0.368515708972504,"affinity",4,3
"32",2,0.587359715021431,"fuzzy",4,3
"33",4,0.346749164517337,"affinity",5,3
"34",2,0.571013262558155,"fuzzy",5,3
"35",4,0.324228197666166,"affinity",6,3
"36",2,0.556664370198965,"fuzzy",6,3
"37",4,0.353896367706548,"affinity",1,4
"38",3,0.280579427322136,"fuzzy",1,4
"39",10,0.266351818232375,"affinity",2,4
"40",2,0.514709102539772,"fuzzy",2,4
"41",4,0.469253309863618,"affinity",3,4
"42",2,0.618715984027448,"fuzzy",3,4
"43",5,0.3259891237045,"affinity",4,4
"44",2,0.5785063073208,"fuzzy",4,4
"45",4,0.343103929936858,"affinity",5,4
"46",2,0.568255199775534,"fuzzy",5,4
"47",5,0.245025380487679,"affinity",6,4
"48",2,0.560370806162609,"fuzzy",6,4
"49",5,0.469308281663072,"affinity",1,5
"50",2,0.676414262243102,"fuzzy",1,5
"51",4,0.545832766620052,"affinity",2,5
"52",2,0.659415025417634,"fuzzy",2,5
"53",6,0.456362324676649,"affinity",3,5
"54",2,0.635609231118063,"fuzzy",3,5
"55",5,0.390330170344776,"affinity",4,5
"56",3,0.400526757901177,"fuzzy",4,5
"57",5,0.287852162757017,"affinity",5,5
"58",2,0.540629198929391,"fuzzy",5,5
"59",4,0.321100566116441,"affinity",6,5
"60",2,0.553847944562815,"fuzzy",6,5
"61",7,0.359912518456391,"affinity",1,6
"62",3,0.389640987828775,"fuzzy",1,6
"63",4,0.621795238737006,"affinity",2,6
"64",2,0.633719306848457,"fuzzy",2,6
"65",4,0.273829503191436,"affinity",3,6
"66",3,0.266368468648574,"fuzzy",3,6
"67",5,0.316558421864112,"affinity",4,6
"68",2,0.574858434906015,"fuzzy",4,6
"69",5,0.281826876953054,"affinity",5,6
"70",2,0.566757090695729,"fuzzy",5,6
"71",5,0.309639713379051,"affinity",6,6
"72",2,0.549183527557759,"fuzzy",6,6
"73",5,0.505223974235372,"affinity",1,7
"74",6,0.512154781547048,"fuzzy",1,7
"75",6,0.283734446773428,"affinity",2,7
"76",2,0.467329928275899,"fuzzy",2,7
"77",4,0.550952030942558,"affinity",3,7
"78",2,0.655708066641322,"fuzzy",3,7
"79",6,0.327422432054741,"affinity",4,7
"80",3,0.283579901869547,"fuzzy",4,7
"81",4,0.324082014470767,"affinity",5,7
"82",2,0.555146522365566,"fuzzy",5,7
"83",5,0.307346479974421,"affinity",6,7
"84",2,0.558504305978448,"fuzzy",6,7
"85",4,0.594546236950237,"affinity",1,8
"86",2,0.683694101522734,"fuzzy",1,8
"87",7,0.29749372087577,"affinity",2,8
"88",2,0.405871046538509,"fuzzy",2,8
"89",6,0.389333445864505,"affinity",3,8
"90",2,0.583549488837144,"fuzzy",3,8
"91",6,0.30615653282196,"affinity",4,8
"92",5,0.298957731679817,"fuzzy",4,8
"93",5,0.353014156670755,"affinity",5,8
"94",2,0.580003638045729,"fuzzy",5,8
"95",6,0.298973522909157,"affinity",6,8
"96",2,0.543627502830928,"fuzzy",6,8
"97",5,0.448241518075233,"affinity",1,9
"98",2,0.567136022091549,"fuzzy",1,9
"99",4,0.659688559364988,"affinity",2,9
"100",2,0.682064060791012,"fuzzy",2,9
"101",5,0.422141274412418,"affinity",3,9
"102",2,0.603912787083205,"fuzzy",3,9
"103",5,0.340899413793421,"affinity",4,9
"104",2,0.571826207195036,"fuzzy",4,9
"105",4,0.351518976380072,"affinity",5,9
"106",2,0.574268225226853,"fuzzy",5,9
"107",4,0.367787786279563,"affinity",6,9
"108",2,0.578330657465558,"fuzzy",6,9
"109",4,0.55024804894317,"affinity",1,10
"110",2,0.608436462575667,"fuzzy",1,10
"111",4,0.592360316569943,"affinity",2,10
"112",2,0.703389754775035,"fuzzy",2,10
"113",4,0.491670219616604,"affinity",3,10
"114",2,0.669705011572594,"fuzzy",3,10
"115",6,0.321579756305008,"affinity",4,10
"116",2,0.590993481973425,"fuzzy",4,10
"117",6,0.332125643120051,"affinity",5,10
"118",2,0.567035888010318,"fuzzy",5,10
"119",5,0.244962767732035,"affinity",6,10
"120",2,0.560336619598951,"fuzzy",6,10
"121",4,0.622228604664233,"affinity",1,11
"122",2,0.633859774298185,"fuzzy",1,11
"123",5,0.518928767955872,"affinity",2,11
"124",3,0.501005195410016,"fuzzy",2,11
"125",5,0.500654508841992,"affinity",3,11
"126",2,0.613092101119551,"fuzzy",3,11
"127",4,0.360615951942724,"affinity",4,11
"128",2,0.567286629985755,"fuzzy",4,11
"129",4,0.39800301724059,"affinity",5,11
"130",2,0.598134571843411,"fuzzy",5,11
"131",4,0.337805845035636,"affinity",6,11
"132",2,0.56858171859222,"fuzzy",6,11
"133",5,0.453978170724857,"affinity",1,12
"134",2,0.544307029187564,"fuzzy",1,12
"135",7,0.353208207349809,"affinity",2,12
"136",2,0.531645457545606,"fuzzy",2,12
"137",5,0.422335878422828,"affinity",3,12
"138",2,0.614610787371556,"fuzzy",3,12
"139",5,0.362032348328457,"affinity",4,12
"140",2,0.596203531777549,"fuzzy",4,12
"141",6,0.253835840606989,"affinity",5,12
"142",2,0.57586218378458,"fuzzy",5,12
"143",5,0.24625070930208,"affinity",6,12
"144",2,0.561071392673863,"fuzzy",6,12
"145",5,0.534607973199699,"affinity",1,13
"146",6,0.584771995758416,"fuzzy",1,13
"147",6,0.421128091333912,"affinity",2,13
"148",6,0.399066786344451,"fuzzy",2,13
"149",5,0.341495872003419,"affinity",3,13
"150",2,0.53426506298431,"fuzzy",3,13
"151",5,0.320204371991108,"affinity",4,13
"152",2,0.586143900702232,"fuzzy",4,13
"153",5,0.315515514632598,"affinity",5,13
"154",2,0.552347561784968,"fuzzy",5,13
"155",4,0.336291718773491,"affinity",6,13
"156",2,0.560496667252528,"fuzzy",6,13
"157",4,0.541575827953265,"affinity",1,14
"158",4,0.539517806811283,"fuzzy",1,14
"159",4,0.668642781567668,"affinity",2,14
"160",5,0.534856668305154,"fuzzy",2,14
"161",5,0.461819024301864,"affinity",3,14
"162",2,0.608053494982226,"fuzzy",3,14
"163",4,0.450601391935606,"affinity",4,14
"164",2,0.598968355048999,"fuzzy",4,14
"165",5,0.26576772850987,"affinity",5,14
"166",2,0.560216628506034,"fuzzy",5,14
"167",5,0.234426122804674,"affinity",6,14
"168",2,0.554329319552069,"fuzzy",6,14
"169",6,0.42556086329547,"affinity",1,15
"170",2,0.597787642656325,"fuzzy",1,15
"171",6,0.271290859668761,"affinity",2,15
"172",2,0.453500403244524,"fuzzy",2,15
"173",4,0.590876570091064,"affinity",3,15
"174",2,0.703048707701832,"fuzzy",3,15
"175",4,0.444012266740438,"affinity",4,15
"176",2,0.593260290526232,"fuzzy",4,15
"177",5,0.301047004526544,"affinity",5,15
"178",2,0.574807658664588,"fuzzy",5,15
"179",5,0.2358027228806,"affinity",6,15
"180",2,0.555205786325082,"fuzzy",6,15
"181",5,0.461336744617864,"affinity",1,16
"182",2,0.640080955883194,"fuzzy",1,16
"183",4,0.568752573286023,"affinity",2,16
"184",2,0.675606944361315,"fuzzy",2,16
"185",5,0.572602804545573,"affinity",3,16
"186",2,0.49743868404697,"fuzzy",3,16
"187",5,0.350379067831892,"affinity",4,16
"188",2,0.605257620964287,"fuzzy",4,16
"189",5,0.239636060055105,"affinity",5,16
"190",2,0.557658504570231,"fuzzy",5,16
"191",5,0.234418787661711,"affinity",6,16
"192",2,0.55432412830214,"fuzzy",6,16
"193",7,0.414621263076067,"affinity",1,17
"194",2,0.5491280260902,"fuzzy",1,17
"195",5,0.246194344284837,"affinity",2,17
"196",2,0.315970515857067,"fuzzy",2,17
"197",5,0.464630832326189,"affinity",3,17
"198",2,0.416760664667815,"fuzzy",3,17
"199",4,0.349248924793211,"affinity",4,17
"200",2,0.558831659735494,"fuzzy",4,17
"201",6,0.267138603547934,"affinity",5,17
"202",2,0.542611902069458,"fuzzy",5,17
"203",5,0.23807013574286,"affinity",6,17
"204",2,0.552896879970462,"fuzzy",6,17
"205",4,0.623077168086445,"affinity",1,18
"206",2,0.646200127774616,"fuzzy",1,18
"207",8,0.237482954565604,"affinity",2,18
"208",2,0.368212245062009,"fuzzy",2,18
"209",4,0.546082799073794,"affinity",3,18
"210",2,0.659444497226932,"fuzzy",3,18
"211",5,0.41649039753647,"affinity",4,18
"212",6,0.376903661442924,"fuzzy",4,18
"213",4,0.341200404244021,"affinity",5,18
"214",2,0.569357556212291,"fuzzy",5,18
"215",4,0.305871316124492,"affinity",6,18
"216",2,0.558890244095594,"fuzzy",6,18
"217",4,0.622200568208511,"affinity",1,19
"218",2,0.633851365680188,"fuzzy",1,19
"219",4,0.556838144390101,"affinity",2,19
"220",4,0.539413256105075,"fuzzy",2,19
"221",4,0.660393865467096,"affinity",3,19
"222",2,0.682444305059606,"fuzzy",3,19
"223",4,0.43697467031644,"affinity",4,19
"224",2,0.628370923779653,"fuzzy",4,19
"225",4,0.377770362591608,"affinity",5,19
"226",2,0.565809846011548,"fuzzy",5,19
"227",4,0.313756837754346,"affinity",6,19
"228",2,0.550054514228346,"fuzzy",6,19
"229",3,0.672604148167939,"affinity",1,20
"230",2,0.71396933361101,"fuzzy",1,20
"231",4,0.370118610671971,"affinity",2,20
"232",3,0.357942659074694,"fuzzy",2,20
"233",5,0.447921359294989,"affinity",3,20
"234",2,0.614726034229946,"fuzzy",3,20
"235",5,0.332175282458465,"affinity",4,20
"236",2,0.551677288035224,"fuzzy",4,20
"237",5,0.247439455752481,"affinity",5,20
"238",2,0.561777256744238,"fuzzy",5,20
"239",4,0.351256195151269,"affinity",6,20
"240",2,0.577096519461593,"fuzzy",6,20
"241",8,0.363700244499904,"affinity",1,21
"242",2,0.455067257570104,"fuzzy",1,21
"243",6,0.407043716168204,"affinity",2,21
"244",4,0.383608070026832,"fuzzy",2,21
"245",7,0.267287977888448,"affinity",3,21
"246",2,0.34793635020127,"fuzzy",3,21
"247",4,0.53916333876313,"affinity",4,21
"248",2,0.614263062926831,"fuzzy",4,21
"249",4,0.306047437965872,"affinity",5,21
"250",3,0.297545872806322,"fuzzy",5,21
"251",5,0.244968151113618,"affinity",6,21
"252",2,0.56033949995358,"fuzzy",6,21
"253",4,0.586650317197159,"affinity",1,22
"254",2,0.644200464420483,"fuzzy",1,22
"255",4,0.475309500084145,"affinity",2,22
"256",2,0.637698633584091,"fuzzy",2,22
"257",4,0.655672373955181,"affinity",3,22
"258",5,0.51795155448452,"fuzzy",3,22
"259",4,0.38512053234022,"affinity",4,22
"260",2,0.577139131933999,"fuzzy",4,22
"261",4,0.340948457723262,"affinity",5,22
"262",2,0.570213063522124,"fuzzy",5,22
"263",4,0.307507835724034,"affinity",6,22
"264",2,0.55987481233628,"fuzzy",6,22
"265",5,0.50915608329322,"affinity",1,23
"266",6,0.468393458580913,"fuzzy",1,23
"267",4,0.593636183110499,"affinity",2,23
"268",2,0.683703624489967,"fuzzy",2,23
"269",5,0.398703904447631,"affinity",3,23
"270",2,0.589486670942095,"fuzzy",3,23
"271",5,0.339030244425662,"affinity",4,23
"272",2,0.57816976778779,"fuzzy",4,23
"273",5,0.247387599725994,"affinity",5,23
"274",2,0.561799571623414,"fuzzy",5,23
"275",4,0.305806128913525,"affinity",6,23
"276",2,0.55886061095971,"fuzzy",6,23
"277",4,0.622695615429743,"affinity",1,24
"278",2,0.633741801831746,"fuzzy",1,24
"279",5,0.499599414588231,"affinity",2,24
"280",2,0.61333198804636,"fuzzy",2,24
"281",4,0.593565682659092,"affinity",3,24
"282",2,0.683662691360737,"fuzzy",3,24
"283",5,0.400323443679951,"affinity",4,24
"284",5,0.347249668197857,"fuzzy",4,24
"285",6,0.334827061968052,"affinity",5,24
"286",3,0.309939262693746,"fuzzy",5,24
"287",5,0.232548986044465,"affinity",6,24
"288",2,0.548065050382361,"fuzzy",6,24
"289",5,0.505934963490326,"affinity",1,25
"290",4,0.497540741422647,"fuzzy",1,25
"291",4,0.557402927043281,"affinity",2,25
"292",4,0.536359784949029,"fuzzy",2,25
"293",6,0.418236353893,"affinity",3,25
"294",2,0.623688916010525,"fuzzy",3,25
"295",4,0.416551129046752,"affinity",4,25
"296",2,0.583680286862931,"fuzzy",4,25
"297",4,0.331632952193233,"affinity",5,25
"298",2,0.567138873932592,"fuzzy",5,25
"299",5,0.312764198924619,"affinity",6,25
"300",2,0.562340129394001,"fuzzy",6,25
