Pulse,Dim.1,Dim.2
HU,-1.4035437,6.027746
HU,2.394919,5.840968
HU,-0.44430244,5.5128193
HU,-1.1070429,8.027567
HU,-0.9247671,6.207184
HU,-0.99206513,6.1243787
HU,-1.4374347,7.8174314
HU,-1.404924,7.8523903
HU,-1.0308952,6.6090536
HU,-1.0452992,6.553868
HU,-1.4852365,7.713588
HU,-1.4833686,7.8661647
HU,-1.5107783,7.7946396
HU,-1.4670101,7.8235216
HU,-1.2532197,8.00319
HU,-0.9484235,6.1126122
HU,-1.2764696,7.0253015
HU,-1.069503,6.605936
HU,-1.5135219,6.8944035
HU,-0.6250603,5.7693624
HU,2.3121612,4.903843
HU,2.0998454,4.8979425
HU,2.1746385,4.916832
HU,2.0698016,4.951694
HU,2.152116,4.7996535
HU,2.1903124,4.79837
HU,2.1924484,4.749416
HU,2.2522483,4.700807
HU,-1.0975372,8.018096
HU,-1.4474363,7.8493013
HU,-1.4988856,7.7811084
HU,-1.5266323,7.1858582
HU,-1.5251158,7.731659
HU,-1.5597572,7.6491675
HU,-1.5502998,7.221504
HU,-1.4569875,6.677923
HU,-1.5267252,7.520099
HU,2.7004037,7.9543
HU,-1.4575986,7.813416
VO,-1.2030334,6.433569
VO,-1.1360756,6.5588655
VO,-0.81772596,5.8064413
VO,-1.2527622,7.121838
VO,-0.75423175,8.019905
VO,-1.5081004,5.394452
VO,-1.0813162,7.7733746
VO,-0.789189,8.078283
VO,-0.7820317,8.074893
VO,-0.71537375,8.009975
VO,0.69831854,6.4242353
VO,0.16022192,6.467866
VO,-1.1960388,7.945562
VO,-0.34360114,6.6567545
VO,1.8450915,5.502219
VO,-0.2752863,5.3785043
VO,-1.2693846,6.759636
VO,-1.2059005,7.973935
VO,-0.64716387,7.471547
VO,1.0869063,6.687874
VO,-0.99304855,6.622257
VO,1.8971515,5.3275485
VO,2.3234377,8.087413
VO,-0.8353235,7.6217
VO,-1.5487063,6.9998374
VO,-1.4579147,6.4314322
VO,-1.5108913,6.611719
VO,-1.4993532,6.7355285
VO,2.7226105,7.96319
VO,-1.3845462,7.850874
VO,-1.4230833,7.0118995
VO,2.2126544,8.1410885
VO,-1.5081239,7.018055
VO,2.6993914,7.9527383
VO,2.7294152,8.000935
VO,2.608526,7.841858
VO,2.525021,7.732063
VO,2.5460706,7.702373
VO,0.53871924,6.9010477
VO,2.675027,7.9272256
VO,1.9089257,6.9410963
HR,-1.6497087,5.3627396
HR,-1.703328,5.348096
HR,-1.6058183,5.3838005
HR,1.9537328,4.929683
HR,-0.7920592,7.6896324
HR,-0.73574096,7.8313575
HR,1.8825903,6.7361736
HR,-1.5311651,5.433627
HR,-1.4148561,5.474686
HR,0.3988801,5.768978
HR,-0.22600354,5.3479524
HR,2.1479099,4.8580427
HR,-0.7595934,8.06911
HR,-0.750022,8.052904
HR,-0.73516506,8.061224
HR,-1.384187,5.5030546
HR,-1.669987,5.316585
HR,-1.7494005,5.295573
HR,-1.6900492,5.3392706
HR,-1.6454854,5.362746
HR,2.441728,7.7854347
HR,-1.6695876,5.3505635
HR,-1.6635917,5.35311
HR,-1.6821108,5.3454723
HR,-1.4328486,5.479839
HR,-1.5091038,6.708875
HR,-1.4525524,5.536015
HR,0.50897354,5.5167565
HR,-0.18954821,5.573316
HR,0.2645524,5.591129
HR,-1.7438532,5.383421
HR,-1.6488849,5.3459263
HR,-1.5122479,5.424009
HR,0.8770512,6.447167
HR,3.2171025,5.1241508
HR,-0.3199152,6.688559
HR,-0.1334518,6.5937433
HR,-0.8345343,7.6628447
HR,2.697398,8.031271
HR,-1.4422292,7.018599
HR,-1.0616474,6.9559007
HR,-1.2032404,6.684283
HR,-0.95309526,6.7877307
HR,-0.88877326,6.889037
HR,2.4498587,5.0278993
HR,2.379875,5.10678
HR,2.187978,4.8763595
HR,2.5402205,5.002204
HR,2.3875809,5.200008
HR,2.1999,5.3194747
HR,1.9884443,5.523612
HR,1.8010794,5.5399055
HR,-0.19792707,6.7014933
HR,-0.23912162,6.669873
HR,2.264618,5.154555
HR,1.8131933,6.7264824
HR,0.58318657,6.3306956
HR,0.5887877,6.308881
HR,-0.9915532,6.7533937
HR,-0.90703183,7.733999
HR,-0.9337362,6.8182635
HR,-0.42665735,5.600055
HR,0.49881336,6.2712083
HR,-1.1992906,7.9268556
HR,-0.8779472,7.0501137
HR,-0.60098416,7.0305653
HR,1.8613577,5.585451
HR,-0.3612883,6.67374
HR,2.3188114,8.123742
HR,-1.0988884,7.2650657
HR,-1.0944841,7.2690926
HR,-0.78415203,7.0766525
HR,-1.017953,7.304261
HR,1.9328367,7.56612
HR,-0.9029772,6.8264117
HR,0.66210145,5.5922523
HR,1.264417,6.410385
HR,-0.8988752,7.585334
HR,-0.8370502,7.5632143
HR,-0.6112258,7.138177
HR,-0.4059902,6.9242644
HR,-0.37332788,6.889936
HR,-0.38794926,6.8848767
HR,-0.34012616,6.815435
HR,0.5528893,6.294577
HR,0.6037743,6.3388104
HR,2.644849,7.9058285
HR,1.9073378,8.137499
HR,1.9015929,8.149913
HR,1.8982934,8.114045
HR,0.69980043,6.1224947
HR,-0.91596097,7.697943
HR,-1.583938,6.933186
HR,-1.6243155,7.12934
HR,-1.5398899,6.5697694
HR,-1.582768,7.1579986
HR,-1.498477,6.486628
HR,-1.5328267,6.568125
HR,-1.4637696,6.425389
HR,-0.38154116,6.6020017
HR,-1.3659825,5.7112308
HR,0.36409172,5.85702
HR,-0.8189372,6.589011
HR,0.5733052,6.3268375
HR,-1.3827202,6.6407847
HR,-1.3841907,5.7470646
HR,2.70529,7.953775
HR,-0.30084574,7.9720435
HR,1.3248894,6.7811713
HR,1.3455243,6.6300836
HR,1.9712182,5.434423
HR,-1.3822459,7.8782525
HR,-1.3986658,7.8740783
HR,2.5801587,8.072034
HR,2.296339,8.1397
HR,-1.3346984,7.050823
HR,-1.268725,7.155928
HR,0.5770551,6.7905107
HR,2.3716702,7.8039923
HR,2.43689,7.628217
HR,2.7355342,8.0269165
HR,2.7490654,8.026597
HR,2.7256446,8.006268
HR,2.3972905,6.9703627
HR,2.7222338,6.684115
HR,2.808735,6.649201
HR,0.9373101,5.486668
HR,2.416121,7.705209
HR,2.2138665,6.8266497
HR,2.355431,6.740018
HR,2.3670068,6.697125
HR,2.4059796,6.638152
HR,2.3013837,6.657001
HR,-1.1679573,7.3412704
HR,1.1376243,6.7161736
HR,-1.3815265,6.777954
HR,1.0830936,6.6818647
HR,1.1720221,6.754148
HR,2.5557907,7.719145
HR,2.5722609,7.8195534
HR,2.5922081,6.364183
HR,2.6754544,6.6171756
HR,2.7844813,6.6262717
HR,2.3295145,6.8865976
HR,1.8492728,6.6714373
HR,1.9955417,6.939988
LR,1.3324292,6.787153
LR,0.19493434,5.6002955
LR,5.9216933,4.3654165
LR,0.5441501,5.8985243
LR,2.336983,5.2004747
LR,3.3312516,5.7969728
LR,3.6321962,4.77662
LR,3.4165773,5.440567
LR,3.5827818,5.138944
LR,3.4546087,4.917523
LR,3.1392114,5.0954657
LR,5.8980985,4.1942797
LR,6.0209837,4.0441394
LR,2.2033844,5.709285
LR,2.2386055,5.684957
LR,2.2479944,5.725936
LR,3.2202837,5.321283
LR,5.36043,3.7508378
LR,7.4011874,3.5696828
LR,0.83911914,6.4401846
LR,6.68117,2.576901
LR,2.8721492,5.868507
LR,3.0002005,5.6932054
LR,5.7767158,4.210245
LR,6.078659,4.3061185
LR,2.7207801,5.491294
LR,5.6899014,4.4439845
LR,6.712632,2.6363404
LR,5.2738247,4.5371366
LR,7.732209,0.851943
LR,0.8186769,6.391052
LR,0.85989594,6.390361
LR,4.2608614,4.8383956
LR,-0.36542168,5.5248704
LR,5.3844914,3.460328
LR,7.972818,1.6985558
LR,2.635501,5.761465
LR,2.6740105,5.705314
LR,6.2655816,2.636327
LR,6.3342304,2.0525227
LR,2.925259,5.9396353
LR,1.4387003,6.2959566
LR,6.2096853,2.0118642
LR,8.647279,-0.5007346
LR,2.5597498,5.126921
LR,2.5713906,4.932562
LR,2.5368881,5.2990365
LR,2.6362834,5.2448306
LR,2.8229964,6.5201054
LR,3.547232,5.7073207
LR,4.579425,4.3582945
LR,2.4985445,5.195941
LR,4.28492,4.8130016
LR,1.8094335,5.5704117
LR,1.8809204,5.46704
LR,5.9599514,3.8544104
LR,1.0610918,6.480439
LR,7.6440635,0.8331213
LR,5.9878798,2.3464878
LR,6.184419,1.9764807
LR,7.1540365,0.53048444
LR,7.22459,0.44576898
LR,7.144258,0.4617419
LR,6.2734694,1.9293252
LR,7.1886077,0.47950235
LR,7.853424,1.0281276
LR,7.9178205,0.7532649
LR,2.3513725,8.092451
LR,2.0254757,7.6390553
LR,1.1566511,5.998678
LR,2.0196888,7.7519712
LR,2.6310387,5.722522
LR,2.614024,5.793079
LR,6.394192,1.8160272
LR,8.516136,-0.6153918
LR,8.659518,-0.5444964
LR,8.8099785,-0.49410704
LR,9.730473,-1.3612971
LR,0.41431084,5.6007905
LR,6.0377398,2.2853396
LR,6.2729836,1.9861801
LR,6.578229,1.4197578
LR,8.744978,-0.29935613
LR,2.818826,5.135853
LR,2.9117935,5.169725
LR,2.0709414,7.852472
LR,1.9389069,8.135498
LR,1.9725182,8.077051
LR,2.9334044,5.163625
LR,2.5162616,5.3394675
LR,8.71546,4.0419273
LR,1.9282299,8.11026
LR,-0.9680355,6.976906
LR,-0.9350078,6.6954565
LR,0.37663364,5.858985
LR,0.57288146,5.9802036
LR,1.127067,6.4305453
LR,-0.7226571,6.076839
LR,1.2626767,6.485377
LR,-0.7874062,5.9029064
LR,6.622622,2.7095442
LR,0.3560783,5.832208
LR,0.89261144,6.4007363
LR,5.34657,3.4952247
LR,-0.84029275,6.023587
LR,-0.90281206,6.938547
LR,1.3637797,6.3197436
LR,-0.87457746,6.009912
LR,0.1757311,5.5955086
LR,6.6512003,2.300463
LR,8.572,-0.4103519
LR,8.691971,-0.49614128
LR,8.748154,-0.4911212
LR,8.770194,-0.43798718
LR,8.764418,-0.34820464
LR,8.774453,-0.29545605
LR,8.9828615,0.42711294
LR,0.19082735,5.6297693
LR,4.267321,4.7903214
LR,5.8195324,3.6877012
LR,6.3559136,1.8491391
LR,8.579703,4.45643
LR,0.82112575,6.4116254
LR,2.2310505,4.79314
LR,2.0088608,6.515541
LR,2.7952719,6.6504884
LR,2.918034,6.494848
LR,2.7486157,6.6295733
LR,3.1538649,6.1853213
LR,3.1325061,6.3818336
LR,2.5431767,5.4506617
LR,2.482919,6.2513123
LR,3.220904,5.946624
LR,3.2829597,5.889571
LR,2.6376188,5.3343177
LR,7.85482,1.9448984
LR,3.4747994,5.250485
LR,4.777105,4.1285067
LR,1.2989079,5.5143685
LR,6.4601345,2.2003016
LR,8.265042,-0.28770897
LR,6.817735,1.720153
LR,2.5437138,5.382535
LR,4.690569,4.2029195
LR,5.7774897,3.3820407
LR,7.484996,2.390194
LR,7.515816,2.375398
LR,7.5986185,2.258756
LR,9.974955,0.30373833
LR,5.6590157,4.409327
LR,6.7898583,1.1577682
LR,7.6686063,3.5767825
LR,9.097231,3.1356905
LR,8.955317,3.174167
LR,8.987023,3.0234473
LR,3.0967023,6.1139812
LR,2.598713,6.4241652
LR,3.1580849,6.483613
LR,2.846787,6.573817
LR,2.5745838,6.466668
LR,3.276545,5.841893
LR,7.434482,2.3563745
LR,7.68222,2.3937495
LR,1.0529388,6.596673
LR,2.0297918,6.4544353
LR,9.825415,-1.4679515
LR,7.213595,1.2692089
LR,5.9080453,4.3636374
LR,7.05793,1.3761531
LR,6.9475183,1.52631
LR,7.4328866,0.49168867
LR,7.3647003,0.42139316
LR,9.8702345,-1.461553
LR,9.919853,-1.4599823
LR,10.662971,-0.33089235
LR,10.009076,-1.5093291
LR,3.2032425,6.0590672
LR,3.1955695,6.1674376
LR,3.3456216,5.9731507
LR,3.3169196,5.998965
LR,3.170369,5.150966
LR,2.9346309,6.4679184
LR,7.5754743,3.539252
LR,3.214599,5.4368167
LR,3.278211,6.2369742
LR,5.977129,2.425723
LR,7.5562186,0.7463034
LR,1.1347558,6.7274456
LR,3.069723,5.230781
LR,2.8953326,6.5051227
LR,2.5435402,6.499812
LR,2.9368358,6.4616714
LR,5.077584,3.8011727
LR,5.289298,3.5545828
LR,6.4839163,1.6297547
LR,5.310654,4.396467
LR,5.521238,4.386933
LR,5.8826013,4.3264937
LR,6.081544,4.4888973
LR,10.313345,-1.5310707
IN,10.222972,-1.5277638
IN,8.384433,2.1869287
IN,8.276367,2.3987305
IN,10.734264,0.034933865
IN,6.847469,5.037832
IN,10.074849,0.33417484
IN,5.9407477,3.9615228
IN,5.430327,4.2860937
IN,6.282731,3.3244884
IN,4.1465693,4.541149
IN,4.6378055,4.2335386
IN,6.205696,3.3735492
IN,4.5225267,4.3131657
IN,4.3660917,4.4046206
IN,7.3363276,3.7495668
IN,6.6064534,2.1539488
IN,6.547897,4.5617003
IN,-0.22193618,5.275298
IN,1.3639017,6.530017
IN,7.481886,0.81842947
IN,7.127692,3.0082476
IN,6.638656,1.6262078
IN,8.909807,-0.46552497
IN,7.5083365,4.338261
IN,7.5430884,3.4202476
IN,5.4964,4.1629977
IN,7.520115,0.6969896
IN,7.536916,0.62361795
IN,2.1130466,5.1506553
IN,7.4747963,0.7306303
IN,1.9815534,7.9607606
IN,7.591582,0.79198265
IN,6.7906356,1.8922743
IN,6.283572,3.2863173
IN,2.9157503,5.9021544
IN,7.6750746,0.8402758
IN,7.544877,0.80311257
IN,1.4676701,5.7525406
IN,3.5385683,5.1147366
IN,0.3892072,5.5665956
IN,2.98708,5.229252
IN,3.12671,5.2780137
IN,2.5369081,5.31315
IN,2.0307887,7.8333917
IN,6.1112123,3.537324
IN,1.9213846,8.002248
IN,2.0710692,7.854665
IN,9.803961,-1.427709
IN,6.0066185,4.413154
IN,6.7851915,1.8526323
IN,0.5146799,6.2282486
IN,4.2514467,4.520127
IN,2.192332,5.560605
IN,4.9323745,3.9869258
IN,5.0550613,3.9152665
IN,4.6202683,4.2278047
IN,4.236875,4.492849
IN,4.4356666,4.392845
IN,6.7688456,3.1032796
IN,8.434621,0.13140427
IN,8.000789,4.3584733
IN,7.9539366,4.4828353
IN,8.003104,4.343562
IN,7.9768915,4.422158
IN,7.6312637,4.7171044
IN,6.687804,4.7703476
IN,5.6665454,3.8170943
IN,1.2240022,6.411259
IN,8.851238,5.027866
IN,8.845637,5.024569
IN,8.816516,5.0556903
IN,11.2689495,-1.1426362
IN,2.6078618,5.5619426
IN,0.38442793,5.564062
IN,6.6461215,2.8729007
IN,6.33017,2.00478
IN,6.57121,3.0016246
IN,5.431262,3.442132
IN,6.0828595,2.2688382
IN,6.2195125,2.519991
IN,8.889062,-0.12118951
IN,5.3186803,3.5389903
IN,6.787189,3.150766
IN,1.9837302,7.716089
IN,4.288642,4.8102183
IN,8.11247,3.7393548
IN,2.6027822,5.2907047
IN,4.6589155,4.267618
